id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",UNION POR LA PATRIA,1.71,13.02,22.85,27.62,34.81,780,5925,10400,12573,15845,79.53,60456,48079,4.68,0.18,0.46,2252,85,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",UNION POR LA PATRIA,1.83,7.18,24.6,25.82,40.58,307,1207,4138,4343,6826,79.02,22210,17551,3.66,0.13,0.37,642,23,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel De Marina Leonardo Rosales, Buenos Aires",LA LIBERTAD AVANZA,2.39,4.4,32.38,40.68,20.14,890,1637,12037,15121,7485,78.37,49249,38597,2.91,0.07,0.72,1122,28,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",JUNTOS POR EL CAMBIO,1.65,3.97,35.71,29.85,28.81,174,418,3755,3139,3030,79.51,13921,11069,4.08,0.37,0.54,452,41,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",LA LIBERTAD AVANZA,2.68,4.57,32.45,35.35,24.95,380,647,4597,5007,3534,72.37,20570,14886,3.74,0.25,0.85,557,37,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",LA LIBERTAD AVANZA,2.81,8.2,28.0,33.3,27.69,720,2100,7173,8533,7095,76.66,35074,26888,3.19,0.33,1.2,857,88,BUENOS AIRES
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",UNION POR LA PATRIA,1.34,3.25,31.39,31.34,32.68,154,375,3619,3614,3768,79.27,15253,12091,4.02,0.22,0.4,486,27,BUENOS AIRES
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",JUNTOS POR EL CAMBIO,1.14,3.29,35.83,27.13,32.6,228,657,7151,5415,6506,82.17,25510,20961,3.9,0.19,0.7,817,40,BUENOS AIRES
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,3.68,2.46,17.33,21.37,55.16,1629,1088,7665,9447,24388,78.66,58157,45748,2.8,0.28,0.26,1281,129,BUENOS AIRES
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",UNION POR LA PATRIA,3.55,3.64,20.0,30.15,42.66,5274,5403,29676,44742,63308,78.2,196873,153953,2.89,0.17,0.54,4448,269,BUENOS AIRES
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.2,3.53,19.45,27.22,45.61,7584,6367,35116,49147,82369,78.2,239651,187400,2.74,0.13,0.77,5133,236,BUENOS AIRES
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",UNION POR LA PATRIA,2.32,4.69,25.6,33.24,34.15,569,1149,6269,8142,8363,78.58,32428,25483,2.77,0.44,0.67,707,112,BUENOS AIRES
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.72,3.04,16.29,29.88,47.08,4084,3339,17902,32832,51731,80.04,142896,114369,3.42,0.07,0.43,3916,75,BUENOS AIRES
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.11,2.97,12.68,24.23,56.01,10133,7330,31242,59727,138034,76.51,335691,256830,3.57,0.07,0.4,9167,167,BUENOS AIRES
