,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
274,FORMOSA_BERMEJO,"Bermejo, Formosa",UNION POR LA PATRIA,0.31,0.99,10.18,18.9,69.61,30,95,974,1808,6660,71.47,13567,9697,1.09,0.1,0.14,106,10
275,FORMOSA_FORMOSA,"Formosa, Formosa",UNION POR LA PATRIA,1.02,3.48,17.68,35.53,42.29,1614,5531,28113,56494,67231,77.41,209699,162328,1.32,0.04,0.7,2140,69
276,FORMOSA_LAISHI,"Laishi, Formosa",UNION POR LA PATRIA,0.51,1.78,12.93,27.63,57.15,66,232,1685,3602,7450,77.58,17107,13272,1.36,0.05,0.38,180,6
277,FORMOSA_MATACOS,"Matacos, Formosa",UNION POR LA PATRIA,0.36,1.44,6.84,21.32,70.04,36,143,678,2113,6942,74.13,13585,10071,1.12,0.08,0.38,113,8
278,FORMOSA_PATIÑO,"Patiño, Formosa",UNION POR LA PATRIA,0.52,1.31,14.07,23.47,60.64,243,609,6554,10931,28246,73.17,64841,47443,1.22,0.18,0.41,578,87
279,FORMOSA_PILAGAS,"Pilagas, Formosa",UNION POR LA PATRIA,0.74,1.23,9.57,22.81,65.64,95,158,1225,2920,8402,76.58,16989,13011,1.12,0.08,0.42,146,11
280,FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",UNION POR LA PATRIA,0.64,1.92,13.99,25.36,58.09,359,1086,7895,14313,32787,74.67,76951,57457,1.21,0.07,0.49,696,38
281,FORMOSA_PIRANE,"Pirane, Formosa",UNION POR LA PATRIA,0.73,2.11,17.21,25.56,54.4,304,879,7161,10637,22640,74.73,56862,42492,1.46,0.05,0.54,620,23
282,FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",UNION POR LA PATRIA,0.28,0.68,9.16,12.33,77.54,25,60,812,1093,6871,70.08,12819,8984,1.07,0.14,0.16,96,13
283,JUJUY_COCHINOCA,"Cochinoca, Jujuy",UNION POR LA PATRIA,9.99,8.11,10.61,35.03,36.25,813,660,863,2850,2949,75.25,11195,8424,1.86,0.13,1.44,157,11
284,JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,3.68,7.7,22.64,39.05,26.94,6453,13505,39727,68530,47278,78.36,229790,180071,1.41,0.07,1.07,2531,121
285,JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,2.68,5.89,18.9,45.53,26.99,1818,3996,12815,30873,18304,82.16,84236,69205,1.11,0.09,0.82,765,64
286,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",UNION POR LA PATRIA,8.61,9.43,11.34,32.08,38.55,948,1038,1248,3532,4244,77.2,14728,11370,1.58,0.12,1.46,180,14
287,JUJUY_LEDESMA,"Ledesma, Jujuy",UNION POR LA PATRIA,2.8,5.86,15.53,33.82,42.0,1466,3066,8133,17708,21992,77.46,69266,53654,1.37,0.08,0.95,737,44
288,JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,4.37,9.59,18.12,37.71,30.21,1625,3561,6732,14010,11221,78.46,48581,38119,1.43,0.05,1.06,547,19
