,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
43,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",LA LIBERTAD AVANZA,55.87,44.13,15668,12376,74.78,38671,28920,1.57,0.07,1.38,455,21
44,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",LA LIBERTAD AVANZA,62.75,37.25,4024,2389,73.92,9004,6656,2.97,0.03,0.65,198,2
45,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",LA LIBERTAD AVANZA,66.16,33.84,7488,3830,75.62,15330,11593,1.48,0.02,0.88,171,2
46,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",LA LIBERTAD AVANZA,59.18,40.82,7403,5107,76.68,16772,12860,1.89,0.02,0.81,243,3
47,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",UNION POR LA PATRIA,48.63,51.37,920,972,67.68,2905,1966,1.53,0.0,2.24,30,0
48,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Juan Madariaga, Buenos Aires",LA LIBERTAD AVANZA,62.54,37.46,8437,5053,71.69,19455,13947,1.95,0.11,1.21,272,16
49,BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",LA LIBERTAD AVANZA,61.87,38.13,4413,2720,75.32,9867,7432,1.41,0.0,2.61,105,0
50,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",LA LIBERTAD AVANZA,50.49,49.51,5583,5474,80.47,14194,11422,1.73,0.03,1.44,198,3
51,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",LA LIBERTAD AVANZA,62.63,37.37,2128,1270,67.38,5151,3471,0.89,0.0,1.21,31,0
52,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",LA LIBERTAD AVANZA,53.78,46.22,4884,4198,79.99,11700,9359,1.99,0.02,0.95,186,2
53,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",LA LIBERTAD AVANZA,56.2,43.8,4439,3459,79.04,10259,8109,1.43,0.02,1.15,116,2
54,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",LA LIBERTAD AVANZA,56.72,43.28,223162,170260,72.01,569141,409855,1.79,0.05,2.17,7322,224
