id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",LA LIBERTAD AVANZA,53.64,46.36,24086,20820,76.89,60560,46565,1.93,0.06,1.57,901,26,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",LA LIBERTAD AVANZA,52.61,47.39,8789,7916,77.2,22237,17168,1.49,0.02,1.19,255,4,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel De Marina Leonardo Rosales, Buenos Aires",LA LIBERTAD AVANZA,72.87,27.13,26898,10013,79.16,47940,37951,1.35,0.03,1.36,511,12,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",LA LIBERTAD AVANZA,63.48,36.52,6420,3693,75.06,13943,10465,1.55,0.04,1.78,162,4,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",LA LIBERTAD AVANZA,66.06,33.94,9457,4858,72.27,20606,14891,1.69,0.05,2.12,252,8,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",LA LIBERTAD AVANZA,65.85,34.15,16441,8528,74.1,35121,26023,1.34,0.02,2.69,350,4,BUENOS AIRES
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",LA LIBERTAD AVANZA,62.74,37.26,6793,4035,72.89,15288,11144,1.49,0.01,1.34,166,1,BUENOS AIRES
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",LA LIBERTAD AVANZA,60.64,39.36,11216,7279,74.97,25513,19128,1.29,0.02,2.01,246,3,BUENOS AIRES
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,37.8,62.2,16605,27325,77.62,58246,45213,2.06,0.07,0.71,931,31,BUENOS AIRES
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",LA LIBERTAD AVANZA,52.39,47.61,77235,70177,76.85,197184,151541,1.54,0.12,1.07,2327,180,BUENOS AIRES
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,46.89,53.11,84988,96277,77.93,240100,187100,1.57,0.06,1.49,2932,117,BUENOS AIRES
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",LA LIBERTAD AVANZA,59.69,40.31,14489,9784,76.84,32463,24943,1.21,0.01,1.47,301,2,BUENOS AIRES
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,48.1,51.9,52981,57175,78.92,142980,112840,1.62,0.02,0.73,1832,28,BUENOS AIRES
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,36.85,63.15,91681,157084,75.6,336305,254242,1.58,0.02,0.56,4015,45,BUENOS AIRES
BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",LA LIBERTAD AVANZA,61.58,38.42,3785,2361,77.23,8166,6307,1.03,0.02,1.51,65,1,BUENOS AIRES
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",LA LIBERTAD AVANZA,55.87,44.13,15668,12376,74.78,38671,28920,1.57,0.07,1.38,455,21,BUENOS AIRES
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",LA LIBERTAD AVANZA,62.75,37.25,4024,2389,73.92,9004,6656,2.97,0.03,0.65,198,2,BUENOS AIRES
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",LA LIBERTAD AVANZA,66.16,33.84,7488,3830,75.62,15330,11593,1.48,0.02,0.88,171,2,BUENOS AIRES
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",LA LIBERTAD AVANZA,59.18,40.82,7403,5107,76.68,16772,12860,1.89,0.02,0.81,243,3,BUENOS AIRES
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",UNION POR LA PATRIA,48.63,51.37,920,972,67.68,2905,1966,1.53,0.0,2.24,30,0,BUENOS AIRES
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Juan Madariaga, Buenos Aires",LA LIBERTAD AVANZA,62.54,37.46,8437,5053,71.69,19455,13947,1.95,0.11,1.21,272,16,BUENOS AIRES
BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",LA LIBERTAD AVANZA,61.87,38.13,4413,2720,75.32,9867,7432,1.41,0.0,2.61,105,0,BUENOS AIRES
BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",LA LIBERTAD AVANZA,50.49,49.51,5583,5474,80.47,14194,11422,1.73,0.03,1.44,198,3,BUENOS AIRES
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",LA LIBERTAD AVANZA,62.63,37.37,2128,1270,67.38,5151,3471,0.89,0.0,1.21,31,0,BUENOS AIRES
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",LA LIBERTAD AVANZA,53.78,46.22,4884,4198,79.99,11700,9359,1.99,0.02,0.95,186,2,BUENOS AIRES
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",LA LIBERTAD AVANZA,56.2,43.8,4439,3459,79.04,10259,8109,1.43,0.02,1.15,116,2,BUENOS AIRES
